2022-03-02 19:13:11   54,3g  45   0k  0  0 541 1603 24  0 72 12 10  0  0  0 6,3g  853m  825m  28m  0k   0k 96k 74 12 22 133k  0k  62 256m  95m  14m  13m  2m  2m  23m   9m 316m  36 26   0 61m  57   52 2884    0   0 
2022-03-02 19:13:12   54,3g  45   0k  0  0 541 1603 23  0 72 13  9  0  0  0 6,3g  853m  825m  28m  0k   0k 96k 74 13 22 133k  0k  62 256m  40m  14m  13m  2m  2m  23m   9m 346m  36 26   0 61m  57   52 2884    0   0 
2022-03-02 19:13:13   54,3g  45   0k  0  0 541 1605 23  0 70 11 13  0  0  0 6,3g  882m  854m  28m  0k   0k 96k 72 11 22 133k  0k  62 256m  50m  14m  13m  2m  2m  23m   9m 247m  36 26   0 61m  57   52 2884    0   0 
2022-03-02 19:13:14   54,3g  45   0k  0  0 541 1605 22  0 60 10 25  0  0  0 6,3g  884m  856m  28m  0k   0k 96k 62 10 22 136k <1k  62 256m  13m  14m  13m  2m  2m  23m   9m 253m  36 26  26 61m  57   52 2884    0   0 
2022-03-02 19:13:15   54,3g  45   0k  0  0 541 1605 22  0 73 12 10  0  0  0 6,3g  884m  856m  28m  0k   0k 96k 75 12 22 135k  0k  62 256m  76m  14m  13m  2m  2m  23m   9m 214m  36 26   0 61m  57   52 2884    0   0 
2022-03-02 19:13:16   54,3g  45   0k  0  0 541 1604 22  0 72 12 11  0  0  0 6,3g  885m  856m  28m  0k   0k 96k 73 12 22 133k  0k  62 256m  79m  14m  13m  2m  2m  23m   9m 361m  36 26   0 61m  57   52 2884    0   0 
2022-03-02 19:13:17   54,3g  45   0k  0  0 541 1604 22  0 70 13 10  0  0  0 6,3g  885m  856m  28m  0k   0k 96k 73 13 22 133k  0k  62 256m  56m  14m  13m  2m  2m  23m   9m 365m  36 26   0 61m  57   52 2884    0   0 
2022-03-02 19:13:18   54,3g  45   0k  0  0 541 1606 23  0 53  8 35  0  0  0 6,3g  917m  889m  28m  0k   0k 96k 55  8 22 135k <1k  64 256m 115m  14m  13m  2m  2m  23m   9m  74m  38 26  28 63m  57   52 2884    0   0 
2022-03-02 19:13:19   54,3g  45   0k  0  0 541 1606 18  0 73 11  9  0  0  0 6,3g  925m  897m  28m  0k   0k 96k 76 11 22 133k  0k  64 256m  66m  14m  13m  2m  2m  23m   9m 270m  38 26   0 63m  57   52 2884    0   0 
2022-03-02 19:13:20   54,2g  45   0k  0  0 541 1608 23  0 72 11 10  0  0  0 6,3g  956m  928m  28m  0k   0k 96k 75 12 22 133k  0k  64 256m  42m  14m  13m  2m  2m  23m   9m 466m  38 26   0 63m  57   52 2884    0   0 
2022-03-02 19:13:21   54,2g  45   0k  0  0 541 1608 22  0 72 12 10  0  0  0 6,3g  957m  929m  28m  0k   0k 96k 74 13 22 133k  0k  64 256m  10m  14m  13m  2m  2m  23m   9m 197m  38 26   0 63m  57   52 2884    0   0 
2022-03-02 19:13:22   54,2g  45   0k  0  0 541 1624 22  0 55  7 33  0  0  0 6,3g  958m  930m  28m  0k   0k 96k 55  7 22 134k <1k  63 256m  33m  14m  13m  2m  2m  23m   9m 232m  37 26  26 62m  57   52 2884    0   0 
2022-03-02 19:13:23   54,2g  45   0k  0  0 541 1624 23  0 73 12  9  0  0  0 6,3g  958m  930m  28m  0k   0k 96k 75 13 22 133k  0k  63 256m  34m  14m  13m  2m  2m  23m   9m 303m  37 26   0 62m  57   52 2884    0   0 
2022-03-02 19:13:24   54,2g  45   0k  0  0 541 1624 21  0 71 13 11  0  0  0 6,3g  958m  930m  28m  0k   0k 96k 73 13 22 133k  0k  63 256m  42m  14m  13m  2m  2m  23m   9m 263m  37 26   0 62m  57   52 2884    0   0 
2022-03-02 19:13:25   54,2g  45   0k  0  0 541 1624 23  0 70 12 12  0  0  0 6,3g  958m  930m  28m  0k   0k 96k 73 12 22 133k  0k  63 256m  72m  14m  13m  2m  2m  23m   9m 336m  37 26   0 62m  57   52 2884    0   0 
2022-03-02 19:13:26   54,2g  45   0k  0  0 541 1624  4  0 52  8 36  0  0  0 6,3g  961m  933m  28m  0k   0k 96k 53  8 22 135k <1k  38 256m   5m  14m  13m  2m  2m  23m   9m 366m  12  1   1 37m  57   52 2884    0   0 
2022-03-02 19:13:27   54,2g  45   0k  0  0 541 1624 20  0 68 12 13  0  0  0 6,3g  963m  935m  28m  0k   0k 96k 72 12 22 135k  0k  63 256m 134m  14m  13m  2m  2m  23m   9m 320m  37 26  25 62m  57   52 2884    0   0 
2022-03-02 19:13:28   54,2g  45   0k  0  0 541 1623 22  0 69 12 12  0  0  0 6,3g  970m  942m  28m  0k   0k 96k 72 12 22 134k  0k  62 256m 115m  14m  13m  2m  2m  23m   9m 372m  36 26   0 61m  57   52 2884    0   0 
2022-03-02 19:13:29   54,2g  45   0k  0  0 541 1625 23  0 71 11 11  0  0  0 6,3g  970m  942m  28m  0k   0k 96k 74 12 22 133k  0k  62 256m 121m  14m  13m  2m  2m  23m   9m 235m  36 26   0 61m  57   52 2884    0   0 
2022-03-02 19:13:30   54,2g  45   0k  0  0 541 1626 26  0 61  8 28  0  0  0 6,3g  972m  943m  28m  0k   0k 96k 59  8 22 135k <1k  62 256m  27m  14m  13m  2m  2m  23m   9m 169m  36 26  26 61m  57   52 2884    0   0 
2022-03-02 19:13:31   54,2g  45   0k  0  0 541 1626 23  0 75 10  9  0  0  0 6,3g  972m  943m  28m  0k   0k 96k 73 10 22 134k  0k  62 256m 145m  14m  13m  2m  2m  23m   9m 365m  36 26   0 61m  57   52 2884    0   0 
2022-03-02 19:13:32   54,2g  45   0k  0  0 541 1626 21  0 71 11 12  0  0  0 6,3g  972m  943m  28m  0k   0k 96k 73 12 22 133k  0k  62 256m 133m  14m  13m  2m  2m  23m   9m 305m  36 26   0 61m  57   52 2884    0   0 
2022-03-02 19:13:33   54,2g  45   0k  0  0 541 1626 22  0 72 11 11  0  0  0 6,3g  972m  943m  28m  0k   0k 96k 74 11 22 133k  0k  62 256m  25m  14m  13m  2m  2m  23m   9m 267m  36 26   0 61m  57   52 2884    0   0 
2022-03-02 19:13:34   54,2g  45   0k  0  0 541 1626 24  0 54  8 35  0  0  0 6,3g  974m  946m  28m  0k   0k 96k 56  9 22 134k <1k  62 256m   8m  14m  13m  2m  2m  23m  10m 426m  36 26  26 61m  57   52 2884    0   0 
2022-03-02 19:13:35   54,2g  45   0k  0  0 541 1627 20  0 71 13 10  0  0  0 6,3g  974m  946m  28m  0k   0k 96k 74 13 22 133k  0k  62 256m 105m  14m  13m  2m  2m  23m  10m 374m  36 26   0 61m  57   52 2884    0   0 
2022-03-02 19:13:36   54,2g  45   0k  0  0 541 1627 25  0 69 12 11  0  0  0 6,3g  981m  953m  28m  0k   0k 96k 73 13 22 133k  0k  62 256m 105m  14m  13m  2m  2m  23m  10m 353m  36 26   0 61m  57   52 2884    0   0 
2022-03-02 19:13:37   54,2g  45   0k  0  0 541 1627 22  0 71 12 11  0  0  0 6,3g  981m  953m  28m  0k   0k 96k 74 12 22 133k  0k  62 256m 134m  14m  13m  2m  2m  23m  10m 290m  36 26   0 61m  57   52 2884    0   0 
2022-03-02 19:13:38   54,2g  45   0k  0  0 541 1626 24  0 62 10 24  0  0  0 6,3g  981m  953m  28m  0k   0k 96k 63 10 22 135k <1k  62 256m  66m  14m  13m  2m  2m  23m  10m 228m  36 26  26 61m  57   52 2884    0   0 
2022-03-02 19:13:39   54,2g  45   0k  0  0 541 1626 22  0 72 11 11  0  0  0 6,3g  981m  953m  28m  0k   0k 96k 74 11 22 133k  0k  62 256m   9m  14m  13m  2m  2m  23m  10m 361m  36 26   0 61m  57   52 2884    0   0 
2022-03-02 19:13:40   54,2g  45   0k  0  0 541 1626 24  0 74 11 10  0  0  0 6,3g  981m  953m  28m  0k   0k 96k 75 12 22 133k  0k  62 256m  90m  14m  13m  2m  2m  23m  10m 379m  36 26   0 61m  57   52 2884    0   0 
2022-03-02 19:13:41   54,2g  45   0k  0  0 541 1626 23  0 71 11 12  0  0  0 6,3g  982m  953m  28m  0k   0k 96k 74 12 22 133k  0k  62 256m  33m  14m  13m  2m  2m  23m  10m 320m  36 26   0 61m  57   52 2884    0   0 
2022-03-02 19:13:42   54,2g  45   0k  0  0 541 1626 21  0 50  8 37  0  0  0 6,3g  982m  954m  28m  0k   0k 96k 52  9 22 135k <1k  62 256m  56m  14m  13m  2m  2m  23m  10m 249m  36 26  26 61m  57   52 2884    0   0 
2022-03-02 19:13:43   54,2g  45   0k  0  0 541 1626 22  0 71 13 10  0  0  0 6,3g  982m  954m  28m  0k   0k 96k 73 13 22 133k  0k  62 256m  91m  14m  13m  2m  2m  23m  10m 211m  36 26   0 61m  57   52 2884    0   0 
2022-03-02 19:13:44   54,2g  45   0k  0  0 541 1626  7  0 71 12 12  0  0  0 6,3g  982m  954m  28m  0k   0k 96k 74 13 22 133k  0k  62 256m   7m  14m  13m  2m  2m  23m  10m 418m  36 26   0 61m  57   52 2884    0   0 
2022-03-02 19:13:45   54,2g  45   0k  0  0 541 1625 22  0 71 12 10  0  0  0 6,3g  982m  954m  28m  0k   0k 96k 74 12 22 133k  0k  62 256m  13m  14m  13m  2m  2m  23m  10m 366m  36 26   0 61m  57   52 2884    0   0 
2022-03-02 19:13:46   54,2g  45   0k  0  0 541 1624 21  0 55  8 34  0  0  0 6,3g  986m  958m  28m  0k   0k 96k 56  8 22 136k <1k  62 256m  45m  14m  13m  2m  2m  23m  10m 292m  36 26  26 61m  57   52 2884    0   0 
2022-03-02 19:13:47   54,2g  45   0k  0  0 541 1624 24  0 72 12 10  0  0  0 6,3g  988m  960m  28m  0k   0k 96k 75 12 22 133k  0k  62 256m 131m  14m  13m  2m  2m  23m  10m 393m  36 26   0 61m  57   52 2884    0   0 
2022-03-02 19:13:48   54,2g  45   0k  0  0 541 1624 23  0 70 13 11  0  0  0 6,3g  988m  960m  28m  0k   0k 96k 72 13 22 133k  0k  62 256m  60m  14m  13m  2m  2m  23m  10m 216m  36 26   0 61m  57   52 2884    0   0 
