Vitals:
Now:
,syst-avail,syst-crt,syst-swap,syst-si,syst-so,syst-p,syst-t,syst-pr,syst-pb,syst-cpu-us,syst-cpu-sy,syst-cpu-id,syst-cpu-wa,syst-cpu-st,syst-cpu-gu,proc-virt,proc-rss-all,proc-rss-anon,proc-rss-file,proc-rss-shm,proc-swdo,proc-hp,proc-cpu-us,proc-cpu-sy,proc-io-of,proc-io-rd,proc-io-wr,proc-thr,jvm-heap-comm,jvm-heap-used,jvm-meta-comm,jvm-meta-used,jvm-meta-csc,jvm-meta-csu,jvm-meta-gctr,jvm-code,jvm-mlc,jvm-jthr-num,jvm-jthr-nd,jvm-jthr-cr,jvm-jthr-st,jvm-cldg-num,jvm-cldg-anon,jvm-cls-num,jvm-cls-ld,jvm-cls-uld,

                Now,"61900880","25","0","","","526","1132","1","0","","","","","","","6605712","848924","820372","28552","0","0","96","","","23","","","32","","","14400","13927","2048","1870","23808","10304","","10","1","","","","","2903","","",

Last 6 minutes:
,syst-avail,syst-crt,syst-swap,syst-si,syst-so,syst-p,syst-t,syst-pr,syst-pb,syst-cpu-us,syst-cpu-sy,syst-cpu-id,syst-cpu-wa,syst-cpu-st,syst-cpu-gu,proc-virt,proc-rss-all,proc-rss-anon,proc-rss-file,proc-rss-shm,proc-swdo,proc-hp,proc-cpu-us,proc-cpu-sy,proc-io-of,proc-io-rd,proc-io-wr,proc-thr,jvm-heap-comm,jvm-heap-used,jvm-meta-comm,jvm-meta-used,jvm-meta-csc,jvm-meta-csu,jvm-meta-gctr,jvm-code,jvm-mlc,jvm-jthr-num,jvm-jthr-nd,jvm-jthr-cr,jvm-jthr-st,jvm-cldg-num,jvm-cldg-anon,jvm-cls-num,jvm-cls-ld,jvm-cls-uld,

2022-03-04 13:44:56,"61930832","25","0","0","0","526","1156","17","0","83","5","10","0","0","0","6606740","818724","790168","28556","0","0","96","84","5","22","128","0","56","262144","20016","14400","13845","2048","1856","23808","10240","163143","30","20","0","56440","49","44","2875","0","0",
2022-03-04 13:44:57,"61930328","25","0","0","0","526","1163","25","0","71","4","22","0","0","0","6606740","818724","790168","28556","0","0","96","73","4","22","128","0","62","262144","104290","14400","13845","2048","1856","23808","10240","264037","36","26","26","62608","49","44","2875","0","0",
2022-03-04 13:44:58,"61930328","25","0","0","0","526","1163","9","0","86","6","6","0","0","0","6606740","818724","790168","28556","0","0","96","86","6","22","128","0","62","262144","41502","14400","13845","2048","1856","23808","10240","152585","36","26","0","62608","49","44","2875","0","0",
2022-03-04 13:44:59,"61930328","25","0","0","0","526","1163","24","0","87","6","4","0","0","0","6606740","818724","790168","28556","0","0","96","88","6","22","128","0","62","262144","109073","14400","13845","2048","1856","23808","10240","126207","36","26","0","62608","49","44","2875","0","0",
2022-03-04 13:45:00,"61930328","25","0","0","0","526","1163","24","0","87","5","4","0","0","0","6606740","818724","790168","28556","0","0","96","89","5","22","128","0","62","262144","128917","14400","13845","2048","1856","23808","10240","209460","36","26","0","62608","49","44","2875","0","0",
2022-03-04 13:45:01,"61930344","25","0","0","0","526","1163","25","0","59","3","37","0","0","0","6606740","818724","790168","28556","0","0","96","59","3","22","128","0","62","262144","50213","14400","13845","2048","1856","23808","10240","125445","36","26","26","62608","49","44","2875","0","0",
2022-03-04 13:45:02,"61930092","25","0","0","0","526","1164","25","0","88","6","4","0","0","0","6606740","818724","790168","28556","0","0","96","89","6","22","128","0","62","262144","27819","14400","13845","2048","1856","23808","10240","244342","36","26","0","62608","49","44","2875","0","0",
2022-03-04 13:45:03,"61930092","25","0","0","0","526","1164","24","0","87","5","6","0","0","0","6606740","818724","790168","28556","0","0","96","88","5","22","128","0","62","262144","133040","14400","13845","2048","1856","23808","10240","132131","36","26","0","62608","49","44","2875","0","0",
2022-03-04 13:45:04,"61930092","25","0","0","0","526","1164","24","0","87","5","6","0","0","0","6606740","818724","790168","28556","0","0","96","88","5","22","128","0","62","262144","156105","14400","13845","2048","1856","23808","10240","82219","36","26","0","62608","49","44","2875","0","0",
2022-03-04 13:45:05,"61930596","25","0","0","0","526","1154","12","0","77","5","15","0","0","0","6606740","818724","790168","28556","0","0","96","79","5","22","128","0","52","262144","77895","14400","13845","2048","1856","23808","10240","192448","26","16","0","52328","49","44","2875","0","0",
