Vitals:
Now:
,syst-avail,syst-crt,syst-swap,syst-si,syst-so,syst-p,syst-t,syst-pr,syst-pb,syst-cpu-us,syst-cpu-sy,syst-cpu-id,syst-cpu-wa,syst-cpu-st,syst-cpu-gu,proc-virt,proc-rss-all,proc-rss-anon,proc-rss-file,proc-rss-shm,proc-swdo,proc-hp,proc-cpu-us,proc-cpu-sy,proc-io-of,proc-io-rd,proc-io-wr,proc-thr,jvm-heap-comm,jvm-heap-used,jvm-meta-comm,jvm-meta-used,jvm-meta-csc,jvm-meta-csu,jvm-meta-gctr,jvm-code,jvm-mlc,jvm-jthr-num,jvm-jthr-nd,jvm-jthr-cr,jvm-jthr-st,jvm-cldg-num,jvm-cldg-anon,jvm-cls-num,jvm-cls-ld,jvm-cls-uld,

                Now,"56542948","47","0","","","532","1561","3","0","","","","","","","23395448","1740880","1712632","28248","0","0","88","","","23","","","32","","","14400","13925","2048","1876","23808","10112","","10","1","","","","","2914","","",

Last 6 minutes:
,syst-avail,syst-crt,syst-swap,syst-si,syst-so,syst-p,syst-t,syst-pr,syst-pb,syst-cpu-us,syst-cpu-sy,syst-cpu-id,syst-cpu-wa,syst-cpu-st,syst-cpu-gu,proc-virt,proc-rss-all,proc-rss-anon,proc-rss-file,proc-rss-shm,proc-swdo,proc-hp,proc-cpu-us,proc-cpu-sy,proc-io-of,proc-io-rd,proc-io-wr,proc-thr,jvm-heap-comm,jvm-heap-used,jvm-meta-comm,jvm-meta-used,jvm-meta-csc,jvm-meta-csu,jvm-meta-gctr,jvm-code,jvm-mlc,jvm-jthr-num,jvm-jthr-nd,jvm-jthr-cr,jvm-jthr-st,jvm-cldg-num,jvm-cldg-anon,jvm-cls-num,jvm-cls-ld,jvm-cls-uld,

2022-03-02 14:49:21,"56720516","47","0","0","0","535","1597","26","0","60","10","26","0","0","0","23396476","1469704","1441452","28252","0","0","88","61","11","22","135","0","62","278528","144064","14272","13769","2048","1862","23808","9792","","36","26","26","62608","57","52","2888","0","0",
2022-03-02 14:49:22,"57147896","46","0","0","0","535","1598","22","0","67","14","12","0","0","0","23396476","1061304","1033052","28252","0","0","88","70","15","22","132","0","62","491520","70907","14272","13769","2048","1862","23808","9792","","36","26","0","62608","57","52","2888","0","0",
2022-03-02 14:49:23,"56925128","46","0","0","0","535","1598","23","0","70","14","10","0","0","0","23396476","1284268","1256016","28252","0","0","88","73","14","22","132","0","62","712704","383317","14272","13769","2048","1862","23808","9792","","36","26","0","62608","57","52","2888","0","0",
2022-03-02 14:49:24,"56776452","47","0","0","0","535","1598","21","0","69","15","11","0","0","0","23396476","1432104","1403852","28252","0","0","88","71","16","22","132","0","62","860160","283852","14272","13769","2048","1862","23808","9792","","36","26","0","62608","57","52","2888","0","0",
2022-03-02 14:49:26,"56567332","47","0","0","0","535","1606","22","0","29","6","12","0","0","0","23396476","1644440","1616188","28252","0","0","88","31","6","22","133","0","64","327680","34843","14272","13770","2048","1862","23808","9792","","38","26","28","64664","57","52","2888","0","0",
2022-03-02 14:49:27,"57044624","46","0","0","0","535","1606","22","0","70","15","11","0","0","0","23396476","1170696","1142444","28252","0","0","88","71","15","22","132","0","64","573440","322297","14272","13770","2048","1862","23808","9792","","38","26","0","64664","57","52","2888","0","0",
2022-03-02 14:49:28,"56925680","46","0","0","0","535","1597","22","0","69","15","11","0","0","0","23396476","1285488","1257236","28252","0","0","88","71","16","22","132","0","64","688128","81549","14272","13770","2048","1862","23808","9792","","38","26","0","64664","57","52","2888","0","0",
2022-03-02 14:49:29,"56786584","47","0","0","0","535","1597","23","0","70","14","11","0","0","0","23396476","1426736","1398484","28252","0","0","88","72","14","22","132","0","64","827392","86726","14272","13770","2048","1862","23808","9792","","38","26","0","64664","57","52","2888","0","0",
2022-03-02 14:49:30,"56612208","47","0","0","0","535","1572","3","0","54","11","31","0","0","0","23396476","1602132","1573880","28252","0","0","88","55","11","22","133","0","41","999424","327492","14272","13770","2048","1862","23808","9792","","15","3","0","41020","57","52","2888","0","0",
2022-03-02 14:49:31,"57037584","46","0","0","0","535","1596","23","0","66","14","13","0","0","0","23396476","1176208","1147956","28252","0","0","88","70","15","22","133","0","63","565248","39812","14272","13771","2048","1862","23808","9792","","37","26","26","63636","57","52","2888","0","0",
2022-03-02 14:49:32,"56781552","47","0","0","0","535","1596","24","0","67","15","11","0","0","0","23396476","1433816","1405564","28252","0","0","88","71","16","22","132","0","63","819200","48381","14272","13771","2048","1862","23808","9792","","37","26","0","63636","57","52","2888","0","0",
