Vitals:
Now:
,syst-avail,syst-crt,syst-swap,syst-si,syst-so,syst-p,syst-t,syst-pr,syst-pb,syst-cpu-us,syst-cpu-sy,syst-cpu-id,syst-cpu-wa,syst-cpu-st,syst-cpu-gu,proc-virt,proc-rss-all,proc-rss-anon,proc-rss-file,proc-rss-shm,proc-swdo,proc-hp,proc-cpu-us,proc-cpu-sy,proc-io-of,proc-io-rd,proc-io-wr,proc-thr,jvm-heap-comm,jvm-heap-used,jvm-meta-comm,jvm-meta-used,jvm-meta-csc,jvm-meta-csu,jvm-meta-gctr,jvm-code,jvm-mlc,jvm-jthr-num,jvm-jthr-nd,jvm-jthr-cr,jvm-jthr-st,jvm-cldg-num,jvm-cldg-anon,jvm-cls-num,jvm-cls-ld,jvm-cls-uld,

                Now,"61311008","28","0","","","536","1175","4","0","","","","","","","6605712","980724","952100","28624","0","0","96","","","23","","","32","","","14400","13889","2048","1878","23680","10176","","10","1","","","","","2915","","",

Last 30 minutes:
,syst-avail,syst-crt,syst-swap,syst-si,syst-so,syst-p,syst-t,syst-pr,syst-pb,syst-cpu-us,syst-cpu-sy,syst-cpu-id,syst-cpu-wa,syst-cpu-st,syst-cpu-gu,proc-virt,proc-rss-all,proc-rss-anon,proc-rss-file,proc-rss-shm,proc-swdo,proc-hp,proc-cpu-us,proc-cpu-sy,proc-io-of,proc-io-rd,proc-io-wr,proc-thr,jvm-heap-comm,jvm-heap-used,jvm-meta-comm,jvm-meta-used,jvm-meta-csc,jvm-meta-csu,jvm-meta-gctr,jvm-code,jvm-mlc,jvm-jthr-num,jvm-jthr-nd,jvm-jthr-cr,jvm-jthr-st,jvm-cldg-num,jvm-cldg-anon,jvm-cls-num,jvm-cls-ld,jvm-cls-uld,

2022-03-04 16:25:18,"61526952","26","0","0","0","526","1167","21","0","62","11","20","0","0","0","6606740","935720","907092","28628","0","0","96","65","12","22","132","1","63","262144","53087","14336","13818","2048","1868","23680","10112","275751","37","26","58","63636","57","52","2895","0","0",
2022-03-04 16:25:23,"61523684","26","0","0","0","526","1165","22","0","64","12","17","0","0","0","6606740","939088","910460","28628","0","0","96","67","12","22","130","0","62","262144","55875","14336","13818","2048","1868","23680","10112","312758","36","26","26","62608","57","52","2895","0","0",
2022-03-04 16:25:28,"61520436","26","0","0","0","526","1164","24","0","66","12","16","0","0","0","6606740","941784","913156","28628","0","0","96","68","12","22","129","0","62","262144","95496","14336","13818","2048","1868","23680","10112","364608","36","26","26","62608","57","52","2895","0","0",
2022-03-04 16:25:33,"61520188","26","0","0","0","526","1163","20","0","66","12","14","0","0","0","6606740","941816","913188","28628","0","0","96","69","13","22","130","0","62","262144","18082","14336","13818","2048","1868","23680","10112","379392","36","26","26","62608","57","52","2895","0","0",
2022-03-04 16:25:38,"61518448","26","0","0","0","526","1147","7","0","63","11","19","0","0","0","6606740","943488","914860","28628","0","0","96","65","12","22","130","0","46","262144","15209","14336","13820","2048","1868","23680","10176","322251","20","10","26","46160","57","52","2895","0","0",
2022-03-04 16:25:43,"61518212","26","0","0","0","526","1162","19","0","64","12","18","0","0","0","6606740","943528","914900","28628","0","0","96","66","12","22","130","1","62","262144","13032","14336","13824","2048","1868","23680","10176","257246","36","26","52","62608","57","52","2895","0","0",
2022-03-04 16:25:48,"61514708","26","0","0","0","526","1164","25","0","63","12","18","0","0","0","6606740","944448","915820","28628","0","0","96","66","12","22","130","0","62","262144","80399","14336","13824","2048","1868","23680","10176","262664","36","26","26","62608","57","52","2895","0","0",
2022-03-04 16:25:53,"61514472","26","0","0","0","526","1163","20","0","66","12","15","0","0","0","6606740","944448","915820","28628","0","0","96","68","13","22","130","0","62","262144","83914","14336","13824","2048","1868","23680","10176","328283","36","26","26","62608","57","52","2895","0","0",
2022-03-04 16:25:58,"61512728","26","0","0","0","526","1163","23","0","65","11","17","0","0","0","6606740","945760","917132","28628","0","0","96","68","12","22","130","0","62","262144","118831","14336","13824","2048","1868","23680","10176","290988","36","26","26","62608","57","52","2895","0","0",
2022-03-04 16:26:03,"61512236","26","0","0","0","526","1154","14","0","62","11","19","0","0","0","6606740","946156","917528","28628","0","0","96","65","11","22","130","0","53","262144","104507","14336","13824","2048","1868","23680","10176","273805","27","17","26","53356","57","52","2895","0","0",
2022-03-04 16:26:08,"61511508","26","0","0","0","526","1170","23","0","62","12","20","0","0","0","6606740","947996","919368","28628","0","0","96","64","12","22","130","1","62","262144","79180","14336","13824","2048","1868","23680","10176","249866","36","26","52","62608","57","52","2895","0","0",
2022-03-04 16:26:13,"61511012","26","0","0","0","526","1171","19","0","65","12","15","0","0","0","6606740","948152","919524","28628","0","0","96","68","13","22","130","0","62","262144","99122","14336","13824","2048","1868","23680","10176","184095","36","26","26","62608","57","52","2895","0","0",
2022-03-04 16:26:18,"61510776","26","0","0","0","526","1171","23","0","65","12","16","0","0","0","6606740","948152","919524","28628","0","0","96","68","12","22","129","0","62","262144","20927","14336","13824","2048","1868","23680","10176","360976","36","26","26","62608","57","52","2895","0","0",
2022-03-04 16:26:23,"61509028","26","0","0","0","526","1171","21","0","65","12","16","0","0","0","6606740","949892","921264","28628","0","0","96","67","13","22","129","0","62","262144","129583","14336","13824","2048","1868","23680","10176","317275","36","26","26","62608","57","52","2895","0","0",
2022-03-04 16:26:28,"61504508","26","0","0","0","526","1164","15","0","62","12","19","0","0","0","6606740","952408","923780","28628","0","0","96","65","12","22","129","0","55","262144","28338","14336","13824","2048","1868","23680","10176","251669","29","19","26","55412","57","52","2895","0","0",
2022-03-04 16:26:33,"61504772","26","0","0","0","526","1171","25","0","60","11","21","0","0","0","6606740","952564","923936","28628","0","0","96","63","12","22","130","1","62","262144","78723","14336","13824","2048","1868","23680","10176","165320","36","26","52","62608","57","52","2895","0","0",
2022-03-04 16:26:38,"61498740","26","0","0","0","526","1162","20","0","64","12","16","0","0","0","6606740","959368","930740","28628","0","0","96","67","13","22","130","0","62","262144","18718","14336","13825","2048","1868","23680","10176","300662","36","26","26","62608","57","52","2895","0","0",
2022-03-04 16:26:43,"61496244","26","0","0","0","526","1161","23","0","64","12","16","0","0","0","6606740","959796","931168","28628","0","0","96","67","13","22","129","0","62","262144","115925","14336","13825","2048","1868","23680","10176","313511","36","26","26","62608","57","52","2895","0","0",
2022-03-04 16:26:49,"61498280","26","0","0","0","526","1161","22","0","52","10","15","0","0","0","6606740","959796","931168","28628","0","0","96","55","10","22","129","0","62","262144","159165","14336","13825","2048","1868","23680","10176","255809","36","26","26","62608","57","52","2895","0","0",
2022-03-04 16:26:54,"61498292","26","0","0","0","526","1159","22","0","65","13","14","0","0","0","6606740","959796","931168","28628","0","0","96","69","13","22","129","0","61","262144","97216","14336","13825","2048","1868","23680","10176","238696","35","25","26","61580","57","52","2895","0","0",
2022-03-04 16:26:59,"61498304","26","0","0","0","526","1163","18","0","59","11","23","0","0","0","6606740","959932","931304","28628","0","0","96","62","11","22","129","1","62","262144","7532","14336","13825","2048","1868","23680","10176","133963","36","26","52","62608","57","52","2895","0","0",
2022-03-04 16:27:04,"61497828","26","0","0","0","526","1163","17","0","65","12","16","0","0","0","6606740","959932","931304","28628","0","0","96","68","13","22","130","0","62","262144","146067","14336","13825","2048","1868","23680","10176","356429","36","26","26","62608","57","52","2895","0","0",
2022-03-04 16:27:09,"61498088","26","0","0","0","526","1163","21","0","64","12","17","0","0","0","6606740","959936","931308","28628","0","0","96","67","12","22","129","0","62","262144","29592","14336","13825","2048","1868","23680","10176","309858","36","26","26","62608","57","52","2895","0","0",
2022-03-04 16:27:14,"61497592","26","0","0","0","526","1164","17","0","65","12","16","0","0","0","6606740","960724","932096","28628","0","0","96","68","12","22","130","0","62","262144","36318","14336","13825","2048","1868","23680","10176","391651","36","26","26","62608","57","52","2895","0","0",
2022-03-04 16:27:19,"61497600","26","0","0","0","526","1162","23","0","65","12","16","0","0","0","6606740","960732","932104","28628","0","0","96","67","13","22","129","0","60","262144","48741","14336","13825","2048","1868","23680","10176","456374","34","24","26","60552","57","52","2895","0","0",
2022-03-04 16:27:24,"61494592","26","0","0","0","526","1164","23","0","62","11","20","0","0","0","6606740","963920","935292","28628","0","0","96","64","12","22","129","1","62","262144","91740","14336","13825","2048","1868","23680","10176","236736","36","26","52","62608","57","52","2895","0","0",
2022-03-04 16:27:29,"61493592","26","0","0","0","526","1162","23","0","64","12","17","0","0","0","6606740","963920","935292","28628","0","0","96","67","12","22","129","0","62","262144","93419","14336","13825","2048","1868","23680","10176","190401","36","26","26","62608","57","52","2895","0","0",
2022-03-04 16:27:34,"61493116","26","0","0","0","526","1162","24","0","64","12","18","0","0","0","6606740","964144","935516","28628","0","0","96","66","12","22","129","0","62","262144","54605","14336","13825","2048","1868","23680","10176","303901","36","26","26","62608","57","52","2895","0","0",
2022-03-04 16:27:39,"61491856","26","0","0","0","526","1162","22","0","65","11","17","0","0","0","6606740","965040","936412","28628","0","0","96","67","12","22","130","0","62","262144","48738","14336","13825","2048","1868","23680","10176","416128","36","26","26","62608","57","52","2895","0","0",
2022-03-04 16:27:44,"61491880","26","0","0","0","526","1160","22","0","64","12","17","0","0","0","6606740","965040","936412","28628","0","0","96","66","12","22","129","0","61","262144","44126","14336","13825","2048","1868","23680","10176","450911","35","25","26","61580","57","52","2895","0","0",
2022-03-04 16:27:49,"61486116","26","0","0","0","526","1139","3","0","61","11","21","0","0","0","6606740","969900","941272","28628","0","0","96","63","12","22","129","0","40","262144","139855","14336","13825","2048","1868","23680","10176","147812","14","4","26","39992","57","52","2895","0","0",
2022-03-04 16:27:54,"61487136","26","0","0","0","526","1164","17","0","66","12","15","0","0","0","6606740","969900","941272","28628","0","0","96","69","13","22","129","1","62","262144","103611","14336","13825","2048","1868","23680","10176","343479","36","26","52","62608","57","52","2895","0","0",
2022-03-04 16:27:59,"61487144","26","0","0","0","526","1164","23","0","64","12","17","0","0","0","6606740","970112","941484","28628","0","0","96","67","12","22","129","0","62","262144","148708","14336","13825","2048","1868","23680","10176","294542","36","26","26","62608","57","52","2895","0","0",
2022-03-04 16:28:04,"61485892","26","0","0","0","526","1164","20","0","66","12","15","0","0","0","6606740","971892","943264","28628","0","0","96","69","12","22","129","0","62","262144","147117","14336","13810","2048","1864","23680","10176","254227","36","26","26","62608","49","44","2887","0","8",
2022-03-04 16:28:09,"61483392","26","0","0","0","526","1164","24","0","66","12","15","0","0","0","6606740","972188","943560","28628","0","0","96","69","12","22","129","0","62","262144","102623","14336","13810","2048","1864","23680","10176","214667","36","26","26","62608","49","44","2887","0","0",
2022-03-04 16:28:14,"61483912","26","0","0","0","526","1165","22","0","61","11","21","0","0","0","6606740","972188","943560","28628","0","0","96","64","11","22","130","1","62","262144","25149","14336","13811","2048","1864","23680","10176","135242","36","26","52","62608","49","44","2887","0","0",
2022-03-04 16:28:19,"61483428","26","0","0","0","526","1165","20","0","65","12","16","0","0","0","6606740","972404","943776","28628","0","0","96","68","12","22","130","0","62","262144","21151","14336","13811","2048","1864","23680","10176","341572","36","26","26","62608","49","44","2887","0","0",
2022-03-04 16:28:24,"61482944","26","0","0","0","526","1164","20","0","64","12","17","0","0","0","6606740","972404","943776","28628","0","0","96","67","12","22","129","0","62","262144","36081","14336","13811","2048","1864","23680","10176","275987","36","26","26","62608","49","44","2887","0","0",
2022-03-04 16:28:29,"61480692","26","0","0","0","526","1162","22","0","65","12","16","0","0","0","6606740","972640","944012","28628","0","0","96","67","12","22","129","0","62","262144","100797","14336","13811","2048","1864","23680","10176","296541","36","26","26","62608","49","44","2887","0","0",
2022-03-04 16:28:34,"61478952","26","0","0","0","526","1164","20","0","66","12","15","0","0","0","6606740","973308","944680","28628","0","0","96","68","12","22","129","0","62","262144","117405","14336","13811","2048","1864","23680","10176","259537","36","26","26","62608","49","44","2887","0","0",
2022-03-04 16:28:39,"61481740","26","0","0","0","526","1150","11","0","65","12","16","0","0","0","6606740","973308","944680","28628","0","0","96","67","12","22","129","0","48","262144","146519","14336","13811","2048","1864","23680","10176","223023","22","12","26","48216","49","44","2887","0","0",
2022-03-04 16:28:44,"61482304","26","0","0","0","526","1165","24","0","60","11","22","0","0","0","6606740","973308","944680","28628","0","0","96","63","12","22","129","1","62","262144","67296","14336","13811","2048","1864","23680","10176","153464","36","26","52","62608","49","44","2887","0","0",
2022-03-04 16:28:49,"61482312","26","0","0","0","526","1165","23","0","64","12","16","0","0","0","6606740","973568","944940","28628","0","0","96","67","13","22","129","0","62","262144","68262","14336","13811","2048","1864","23680","10176","359380","36","26","26","62608","49","44","2887","0","0",
2022-03-04 16:28:54,"61480776","26","0","0","0","526","1165","19","0","65","12","16","0","0","0","6606740","973888","945260","28628","0","0","96","68","13","22","130","0","62","262144","144906","14336","13811","2048","1864","23680","10176","325108","36","26","26","62608","49","44","2887","0","0",
2022-03-04 16:28:59,"61481300","26","0","0","0","526","1165","24","0","63","11","19","0","0","0","6606740","973888","945260","28628","0","0","96","65","12","22","130","0","62","262144","110020","14336","13811","2048","1864","23680","10176","441087","36","26","26","62608","49","44","2887","0","0",
2022-03-04 16:29:04,"61481060","26","0","0","0","527","1166","20","0","66","12","15","0","0","0","6606740","974556","945928","28628","0","0","96","68","13","22","129","0","62","262144","96997","14336","13811","2048","1864","23680","10176","463804","36","26","26","62608","49","44","2887","0","0",
2022-03-04 16:29:09,"61481080","26","0","0","0","527","1164","22","0","62","11","20","0","0","0","6606740","974560","945932","28628","0","0","96","64","11","22","129","1","62","262144","82623","14336","13811","2048","1864","23680","10176","270856","36","26","52","62608","49","44","2887","0","0",
2022-03-04 16:29:14,"61479064","26","0","0","0","527","1165","23","0","65","12","16","0","0","0","6606740","974800","946172","28628","0","0","96","67","12","22","129","0","62","262144","89605","14336","13811","2048","1864","23680","10176","324114","36","26","26","62608","49","44","2887","0","0",
2022-03-04 16:29:19,"61440280","27","0","0","0","529","1197","25","0","66","12","15","0","0","0","6606740","974800","946172","28628","0","0","96","68","13","22","130","0","62","262144","6372","14336","13811","2048","1864","23680","10176","336417","36","26","26","62608","49","44","2887","0","0",
2022-03-04 16:29:24,"61438736","27","0","0","0","529","1198","20","0","64","12","17","0","0","0","6606740","975004","946376","28628","0","0","96","67","12","22","130","0","62","262144","79162","14336","13811","2048","1864","23680","10176","301771","36","26","26","62608","49","44","2887","0","0",
2022-03-04 16:29:29,"61443772","27","0","0","0","529","1205","23","0","64","12","17","0","0","0","6606740","975004","946376","28628","0","0","96","67","12","22","130","0","62","262144","21058","14336","13811","2048","1864","23680","10176","220765","36","26","26","62608","49","44","2887","0","0",
2022-03-04 16:29:34,"61454860","27","0","0","0","528","1185","13","0","64","12","17","0","0","0","6606740","975264","946636","28628","0","0","96","67","12","22","129","0","53","262144","8541","14336","13811","2048","1864","23680","10176","172257","27","17","26","53356","49","44","2887","0","0",
2022-03-04 16:29:39,"61455376","27","0","0","0","528","1194","18","0","59","11","22","0","0","0","6606740","975552","946924","28628","0","0","96","62","12","22","129","1","62","262144","155268","14336","13811","2048","1864","23680","10176","317430","36","26","52","62608","49","44","2887","0","0",
2022-03-04 16:29:44,"61454636","27","0","0","0","528","1193","18","0","65","12","15","0","0","0","6606740","976804","948176","28628","0","0","96","68","13","22","129","0","62","262144","107683","14336","13811","2048","1864","23680","10176","284267","36","26","26","62608","49","44","2887","0","0",
2022-03-04 16:29:49,"61475116","26","0","0","0","527","1170","21","0","64","12","17","0","0","0","6606740","976804","948176","28628","0","0","96","67","13","22","129","0","62","262144","143149","14336","13811","2048","1864","23680","10176","247309","36","26","26","62608","49","44","2887","0","0",
2022-03-04 16:29:54,"61476856","26","0","0","0","527","1167","22","0","61","11","21","0","0","0","6606740","977048","948420","28628","0","0","96","63","12","22","129","0","62","262144","28523","14336","13811","2048","1864","23680","10176","416439","36","26","26","62608","49","44","2887","0","0",
2022-03-04 16:29:59,"61475864","26","0","0","0","527","1167","20","0","63","12","18","0","0","0","6606740","978888","950260","28628","0","0","96","66","12","22","129","0","62","262144","16709","14336","13811","2048","1864","23680","10176","339959","36","26","26","62608","49","44","2887","0","0",
2022-03-04 16:30:04,"61475376","26","0","0","0","527","1166","24","0","64","12","18","0","0","0","6606740","979268","950640","28628","0","0","96","66","12","22","130","0","61","262144","154737","14336","13811","2048","1864","23680","10176","297354","35","25","26","61580","49","44","2887","0","0",
2022-03-04 16:30:09,"61475384","26","0","0","0","527","1165","23","0","60","11","22","0","0","0","6606740","979532","950904","28628","0","0","96","63","12","22","130","1","62","262144","110647","14336","13811","2048","1864","23680","10176","210021","36","26","52","62608","49","44","2887","0","0",
2022-03-04 16:30:14,"61474644","26","0","0","0","527","1166","20","0","66","13","14","0","0","0","6606740","979536","950908","28628","0","0","96","69","13","22","129","0","62","262144","26156","14336","13811","2048","1864","23680","10176","429028","36","26","26","62608","49","44","2887","0","0",
2022-03-04 16:30:19,"61474892","26","0","0","0","527","1167","22","0","65","12","15","0","0","0","6606740","980312","951684","28628","0","0","96","68","12","22","129","0","62","262144","14978","14336","13811","2048","1864","23680","10176","396398","36","26","26","62608","49","44","2887","0","0",
2022-03-04 16:30:24,"61471872","26","0","0","0","530","1178","22","0","64","12","17","0","0","0","6606740","980316","951688","28628","0","0","96","65","12","22","130","0","62","262144","68978","14336","13811","2048","1864","23680","10176","335385","36","26","26","62608","49","44","2887","0","0",
2022-03-04 16:30:29,"61369332","27","0","0","0","536","1202","12","0","65","11","17","0","0","0","6606740","980316","951688","28628","0","0","96","66","11","22","131","0","52","262144","109645","14336","13811","2048","1864","23680","10176","272424","26","16","26","52328","49","44","2887","0","0",
2022-03-04 16:30:34,"61209040","28","0","0","0","537","1212","20","0","61","10","23","0","0","0","6606740","980316","951688","28628","0","0","96","60","10","22","133","1","62","262144","54642","14336","13812","2048","1864","23680","10176","209113","36","26","52","62608","49","44","2887","0","0",
2022-03-04 16:30:39,"61219168","28","0","0","0","536","1208","21","0","66","11","16","0","0","0","6606740","980316","951688","28628","0","0","96","68","12","22","131","0","62","262144","116570","14336","13812","2048","1864","23680","10176","318272","36","26","26","62608","49","44","2887","0","0",
2022-03-04 16:30:44,"61204612","28","0","0","0","536","1205","23","0","64","11","18","0","0","0","6606740","980316","951688","28628","0","0","96","66","12","22","132","0","62","262144","51333","14336","13812","2048","1864","23680","10176","256462","36","26","26","62608","49","44","2887","0","0",
2022-03-04 16:30:49,"61309304","28","0","0","0","536","1205","20","0","67","12","15","0","0","0","6606740","980580","951952","28628","0","0","96","68","12","22","132","0","62","262144","82249","14336","13812","2048","1864","23680","10176","238837","36","26","26","62608","49","44","2887","0","0",

Last 12 hours:
